language,speaker_name,speaker_url,birth_place,native_language,other_languages,age_sex,age_onset,learning_method,english_residence,length_residence,mp3_url,mp3_file
hindi,"hindi21,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2236,"faridabad, haryana, india (map)",hindi (hin),none,"26, male",4,academic,usa,1 years,https://accent.gmu.edu/soundtracks/hindi21.mp3,reference/hindi21__2236.mp3
hindi,"hindi22,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2242,"meerut, uttar pradesh, india (map)",hindi (hin),none,"28, male",5,academic,usa,1 years,https://accent.gmu.edu/soundtracks/hindi22.mp3,reference/hindi22__2242.mp3
hindi,"hindi23,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2303,"raj nagar, rajasthan, india (map)",hindi (hin),marathi gujarati,"25, male",3,academic,usa,0.3 years,https://accent.gmu.edu/soundtracks/hindi23.mp3,reference/hindi23__2303.mp3
hindi,"hindi24,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2352,"jamshedpur, jharkhand, india (map)",hindi (hin),none,"23, female",2,naturalistic,usa,0.5 years,https://accent.gmu.edu/soundtracks/hindi24.mp3,reference/hindi24__2352.mp3
hindi,"hindi25,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2353,"pune, maharashtra, india (map)",hindi (hin),marathi,"24, male",6,academic,usa,1 years,https://accent.gmu.edu/soundtracks/hindi25.mp3,reference/hindi25__2353.mp3
hindi,"hindi26,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2354,"kolkata, west bengal, india (map)",hindi (hin),bengali punjabi,"25, male",6,academic,usa,0.6 years,https://accent.gmu.edu/soundtracks/hindi26.mp3,reference/hindi26__2354.mp3
hindi,"hindi27,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2356,"surat, gujarat, india (map)",hindi (hin),gujarati french marwari,"22, male",5,academic,usa,0.3 years,https://accent.gmu.edu/soundtracks/hindi27.mp3,reference/hindi27__2356.mp3
hindi,"hindi28,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2366,"patna, india (map)",hindi (hin),none,"21, male",5,academic,length of english residence: 0 years,0 years,https://accent.gmu.edu/soundtracks/hindi28.mp3,reference/hindi28__2366.mp3
hindi,"hindi29,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2459,"chennai, tamil nadu, india (map)",hindi (hin),telugu kannada gujarati,"24, male",3,academic,usa,0.5 years,https://accent.gmu.edu/soundtracks/hindi29.mp3,reference/hindi29__2459.mp3
hindi,"hindi30,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2478,"ludhiana, india (map)",hindi (hin),urdu punjabi,"37, female",5,academic,usa,2.5 years,https://accent.gmu.edu/soundtracks/hindi30.mp3,reference/hindi30__2478.mp3
hindi,"hindi31,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2609,"rajkot, gujarat, india (map)",hindi (hin),gujarati,"36, female",5,academic,usa,13 years,https://accent.gmu.edu/soundtracks/hindi31.mp3,reference/hindi31__2609.mp3
hindi,"hindi32,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2703,"new delhi, india (map)",hindi (hin),none,"27, female",9,academic,usa,1 years,https://accent.gmu.edu/soundtracks/hindi32.mp3,reference/hindi32__2703.mp3
hindi,"hindi33,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2764,"hyderabad, india (map)",hindi (hin),telugu arabic french greek sanskrit,"44, female",6,naturalistic,"uk, canada, usa",30 years,https://accent.gmu.edu/soundtracks/hindi33.mp3,reference/hindi33__2764.mp3
hindi,"hindi34,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2937,"pune, india (map)",hindi (hin),tamil marathi,"29, male",5,academic,length of english residence: 0 years,0 years,https://accent.gmu.edu/soundtracks/hindi34.mp3,reference/hindi34__2937.mp3
