model,rank,reference_type,feature,normalization,pearson_r,r_squared,n_valid_frames,n_finite_frames,n_outliers_dropped
seed_vc,bottom5,timbre,sF1,reference_phone_gender_zscore,0.27981626442073965,0.07829714183437729,7140,7249,109
seed_vc,bottom5,timbre,sF2,reference_phone_gender_zscore,-0.050975611484087635,0.0025985129661766472,7132,7249,117
seed_vc,bottom5,timbre,sF3,reference_phone_gender_zscore,0.09501096905410975,0.009027084240601,7118,7249,131
seed_vc,bottom5,timbre,sF4,reference_phone_gender_zscore,0.17551058983488632,0.030803967144189703,7249,7249,0
seed_vc,bottom5,timbre,sB1,reference_phone_gender_zscore,0.14302979031916474,0.020457520918744233,6221,7249,1028
seed_vc,bottom5,timbre,sB2,reference_phone_gender_zscore,0.07659596830974623,0.005866942361307649,6694,7249,555
seed_vc,bottom5,timbre,sB3,reference_phone_gender_zscore,0.17529512921629084,0.030728382326956103,6990,7249,259
seed_vc,bottom5,timbre,sB4,reference_phone_gender_zscore,0.08880554105097847,0.007886424121357023,7056,7249,193
seed_vc,bottom5,timbre,sF0,reference_phone_gender_zscore,0.30248232586996116,0.09149555746370137,6801,7249,448
seed_vc,bottom5,timbre,CPP,reference_phone_gender_zscore,0.27635893877132184,0.07637426303881122,6254,6269,15
seed_vc,bottom5,timbre,Energy,reference_phone_gender_zscore,0.23320899345836427,0.05438643462986339,6077,6879,802
