rank,reference_type,model,feature,median,mean,n
top5,timbre,openvoice,Energy,1.3331023177754537,2.348056190956792,74
top5,timbre,openvoice,H1H2c,1.469060338306719,3.2214462754276973,72
top5,timbre,openvoice,H2H4c,0.918629428915797,1.8584365996350014,72
top5,timbre,openvoice,H2KH5Kc,1.3578805524042403,3.1294711717376242,72
top5,timbre,openvoice,H42Kc,1.261787480385074,2.1944777549553454,72
top5,timbre,openvoice,HNR05,1.2819494419503803,2.1788093883478905,72
top5,timbre,openvoice,HNR15,1.561507988755063,2.016103959336642,72
top5,timbre,openvoice,HNR25,1.3256344283341068,1.9637029703622453,72
top5,timbre,openvoice,HNR35,1.3034971640655768,1.8887167337306454,72
top5,timbre,openvoice,sB1,0.7603390991183213,1.8867167100984605,75
top5,timbre,openvoice,sB2,0.8395707046462701,1.8202558136840519,75
top5,timbre,openvoice,sB3,0.9188742714911663,1.5107724992695946,75
top5,timbre,openvoice,sB4,1.0548274338166923,1.5329757892681368,75
top5,timbre,openvoice,sF0,1.059751515521062,3.2231592953938835,75
top5,timbre,openvoice,sF1,1.2545999574056175,3.080806772776443,75
top5,timbre,openvoice,sF2,1.5107970697048219,3.1928728227484813,75
top5,timbre,openvoice,sF3,1.285337525181125,3.1740432694142027,75
top5,timbre,openvoice,sF4,1.283941904262946,4.07421854483024,75
top5,timbre,seed_vc,CPP,1.0282280891484707,1.5706408912788752,76
top5,timbre,seed_vc,Energy,1.099011564452584,3.0248899046506668,77
top5,timbre,seed_vc,H1H2c,1.4182342305562967,3.072786754502396,76
top5,timbre,seed_vc,H2H4c,1.3367671150126113,2.445765548715313,76
top5,timbre,seed_vc,H2KH5Kc,1.6031243653234233,3.2945109946036637,76
top5,timbre,seed_vc,H42Kc,1.4727694045659874,2.482747678507301,76
top5,timbre,seed_vc,HNR05,0.9700300583165777,1.3544596490772902,76
top5,timbre,seed_vc,HNR15,0.8805151733922683,1.5814937066984698,76
top5,timbre,seed_vc,HNR25,1.1187802075805813,1.687049391519306,76
top5,timbre,seed_vc,HNR35,1.2163935031862305,1.6256018782386257,76
top5,timbre,seed_vc,sB1,0.7975601163072329,1.4402618983630786,77
top5,timbre,seed_vc,sB2,0.7315153725915193,1.367926951630696,77
top5,timbre,seed_vc,sB3,0.8483884386734648,1.5543305733220198,77
top5,timbre,seed_vc,sB4,1.0871567702696245,1.4353037876595418,77
top5,timbre,seed_vc,sF0,0.8368977597513145,3.1523403860488846,77
top5,timbre,seed_vc,sF1,1.3725154810392195,3.0925131665410723,77
top5,timbre,seed_vc,sF2,1.001925514489575,3.445631321225784,77
top5,timbre,seed_vc,sF3,1.6871439776231347,4.776921662681794,77
top5,timbre,seed_vc,sF4,1.346179226346045,5.074308157711152,77
